Date,Close/Last,Date_numeric
2017-10-30,2572.83,1131
2017-10-27,2581.07,1128
2017-10-26,2560.4,1127
2017-10-25,2557.15,1126
2017-10-24,2569.13,1125
2017-10-23,2564.98,1124
2017-10-20,2575.21,1121
2017-10-19,2562.1,1120
2017-10-18,2561.26,1119
2017-10-17,2559.36,1118
2017-10-16,2557.64,1117
2017-10-13,2553.17,1114
2017-10-12,2550.93,1113
2017-10-11,2555.24,1112
2017-10-10,2550.64,1111
2017-10-09,2544.73,1110
2017-10-06,2549.33,1107
2017-10-05,2552.07,1106
2017-10-04,2537.74,1105
2017-10-03,2534.58,1104
2017-10-02,2529.12,1103
2017-09-29,2519.36,1100
2017-09-28,2510.06,1099
2017-09-27,2507.04,1098
2017-09-26,2496.84,1097
2017-09-25,2496.66,1096
2017-09-22,2502.22,1093
2017-09-21,2500.6,1092
2017-09-20,2508.24,1091
2017-09-19,2506.65,1090
2017-09-18,2503.87,1089
2017-09-15,2500.23,1086
2017-09-14,2495.62,1085
2017-09-13,2498.37,1084
2017-09-12,2496.48,1083
2017-09-11,2488.11,1082
2017-09-08,2461.43,1079
2017-09-07,2465.1,1078
2017-09-06,2465.54,1077
2017-09-05,2457.85,1076
2017-09-01,2476.55,1072
2017-08-31,2471.65,1071
2017-08-30,2457.59,1070
2017-08-29,2446.3,1069
2017-08-28,2444.24,1068
2017-08-25,2443.05,1065
2017-08-24,2438.97,1064
2017-08-23,2444.04,1063
2017-08-22,2452.51,1062
2017-08-21,2428.37,1061
2017-08-18,2425.55,1058
2017-08-17,2430.01,1057
2017-08-16,2468.11,1056
2017-08-15,2464.61,1055
2017-08-14,2465.84,1054
2017-08-11,2441.32,1051
2017-08-10,2438.21,1050
2017-08-09,2474.02,1049
2017-08-08,2474.92,1048
2017-08-07,2480.91,1047
2017-08-04,2476.83,1044
2017-08-03,2472.16,1043
2017-08-02,2477.57,1042
2017-08-01,2476.35,1041
2017-07-31,2470.3,1040
2017-07-28,2472.1,1037
2017-07-27,2475.42,1036
2017-07-26,2477.83,1035
2017-07-25,2477.13,1034
2017-07-24,2469.91,1033
2017-07-21,2472.54,1030
2017-07-20,2473.45,1029
2017-07-19,2473.83,1028
2017-07-18,2460.61,1027
2017-07-17,2459.14,1026
2017-07-14,2459.27,1023
2017-07-13,2447.83,1022
2017-07-12,2443.25,1021
2017-07-11,2425.53,1020
2017-07-10,2427.43,1019
2017-07-07,2425.18,1016
2017-07-06,2409.75,1015
2017-07-05,2432.54,1014
2017-07-03,2429.01,1012
2017-06-30,2423.41,1009
2017-06-29,2419.7,1008
2017-06-28,2440.69,1007
2017-06-27,2419.38,1006
2017-06-26,2439.07,1005
2017-06-23,2438.3,1002
2017-06-22,2434.5,1001
2017-06-21,2435.61,1000
2017-06-20,2437.03,999
2017-06-19,2453.46,998
2017-06-16,2433.15,995
2017-06-15,2432.46,994
2017-06-14,2437.92,993
2017-06-13,2440.35,992
2017-06-12,2429.39,991
2017-06-09,2431.77,988
2017-06-08,2433.79,987
2017-06-07,2433.14,986
2017-06-06,2429.33,985
2017-06-05,2436.1,984
2017-06-02,2439.07,981
2017-06-01,2430.06,980
2017-05-31,2411.8,979
2017-05-30,2412.91,978
2017-05-26,2415.82,974
2017-05-25,2415.07,973
2017-05-24,2404.39,972
2017-05-23,2398.42,971
2017-05-22,2394.02,970
2017-05-19,2381.73,967
2017-05-18,2365.72,966
2017-05-17,2357.03,965
2017-05-16,2400.67,964
2017-05-15,2402.32,963
2017-05-12,2390.9,960
2017-05-11,2394.44,959
2017-05-10,2399.63,958
2017-05-09,2396.92,957
2017-05-08,2399.38,956
2017-05-05,2399.29,953
2017-05-04,2389.52,952
2017-05-03,2388.13,951
2017-05-02,2391.17,950
2017-05-01,2388.33,949
2017-04-28,2384.2,946
2017-04-27,2388.77,945
2017-04-26,2387.45,944
2017-04-25,2388.61,943
2017-04-24,2374.15,942
2017-04-21,2348.69,939
2017-04-20,2355.84,938
2017-04-19,2338.17,937
2017-04-18,2342.19,936
2017-04-17,2349.01,935
2017-04-13,2328.95,931
2017-04-12,2344.93,930
2017-04-11,2353.78,929
2017-04-10,2357.16,928
2017-04-07,2355.54,925
2017-04-06,2357.49,924
2017-04-05,2352.95,923
2017-04-04,2360.16,922
2017-04-03,2358.84,921
2017-03-31,2362.72,918
2017-03-30,2368.06,917
2017-03-29,2361.13,916
2017-03-28,2358.57,915
2017-03-27,2341.59,914
2017-03-24,2343.98,911
2017-03-23,2345.96,910
2017-03-22,2348.45,909
2017-03-21,2344.02,908
2017-03-20,2373.47,907
2017-03-17,2378.25,904
2017-03-16,2381.38,903
2017-03-15,2385.26,902
2017-03-14,2365.45,901
2017-03-13,2373.47,900
2017-03-10,2372.6,897
2017-03-09,2364.87,896
2017-03-08,2362.98,895
2017-03-07,2368.39,894
2017-03-06,2375.31,893
2017-03-03,2383.12,890
2017-03-02,2381.92,889
2017-03-01,2395.96,888
2017-02-28,2363.64,887
2017-02-27,2369.75,886
2017-02-24,2367.34,883
2017-02-23,2363.81,882
2017-02-22,2362.82,881
2017-02-21,2365.38,880
2017-02-17,2351.16,876
2017-02-16,2347.22,875
2017-02-15,2349.25,874
2017-02-14,2337.58,873
2017-02-13,2328.25,872
2017-02-10,2316.1,869
2017-02-09,2307.87,868
2017-02-08,2294.67,867
2017-02-07,2293.08,866
2017-02-06,2292.56,865
2017-02-03,2297.42,862
2017-02-02,2280.85,861
2017-02-01,2279.55,860
